business_legal_name,license_type,license_status,address,details_url,license_number,issue_date,expiration_date,business_owner_name,business_email,business_structure,licensing_authority_id,licensing_authority,license_designation,license_status_date,license_term,premise_state,parcel_number,activity,business_image_url,business_website,business_phone,id,business_dba_name,data_refreshed_date
Sunland Green Paradise LLC,Cannabis Retailer,Active,"1955 Victory Dr., Bldg B,  Suite 1, Sunland Park, NM, 88063",,CCD-2022-0325-001,4/17/2022,4/17/2024,"Noe Flaco, Cesar Sanchez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0325-001,Sunland Green Paradise LLC,2024-02-06T00:46:51.386169
Fields of Dreams,Cannabis Retailer,Active,{FullAddress},,Premises License,4/12/2022,4/12/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Fields of Dreams,2024-02-06T00:46:51.386169
Cave City Cannabis Co LLP,Cannabis Retailer,Active,{FullAddress},,Premises License,5/4/2022,5/4/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Cave City Cannabis Co LLP,2024-02-06T00:46:51.386169
LTDM LLC,Cannabis Retailer,Active,"468 ISLETA BLVD SW, ALBUQUERQUE, NM, 87105",,CCD-2022-0455-001,5/27/2022,5/27/2024,"JAMIE MUNSEY, MARY JEAN GARCIA, MALLORY GARCIA, GINA MARES, LAURA LEGARDA",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0455-001,LTDM LLC,2024-02-06T00:46:51.386169
"Bird Pham, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,3/26/2022,3/26/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Bird Pham, LLC",2024-02-06T00:46:51.386169
"CDP, LLC",Cannabis Retailer,Active,"1218 San Pedro Dr.SE, Albuquerque, NM, 87108",,CCD-2022-0039-001,1/21/2022,1/21/2025,"Alex Spray-Eich, Timothy VanRixel",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0039-001,"CDP, LLC",2024-02-06T00:46:51.386169
Cloud Confections inc,Cannabis Retailer,Active,"622 Manzano St NE, Albuquerque, NM, 87108",,Premises License,5/31/2022,5/31/2024,"Brianna Figueroa, Kendra Freeman",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Cloud Confections inc,2024-02-06T00:46:51.386169
505 Organix Premium Cannabis LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,4/28/2022,4/28/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,505 Organix Premium Cannabis LLC,2024-02-06T00:46:51.386169
"High Desert Cannabis, LLC",Cannabis Retailer,Active,"2400 Rio Grand Blvd NW Suite B, Albuquerque, NM, 87104",,Premises License,6/14/2022,6/14/2024,"Stefan Mirabal, Albirio Mirabal",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"High Desert Cannabis, LLC",2024-02-06T00:46:51.386169
Go Green Cannabis Company,Cannabis Retailer,Active,{FullAddress},,Premises License,5/27/2022,5/27/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Go Green Cannabis Company,2024-02-06T00:46:51.386169
Smokey Vibes,Cannabis Retailer,Active,"607 S. White Sands Blvd. Unit B, Alamogordo, NM, 88310",,Premises License,7/1/2022,7/1/2024,Javier Aguirre,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Smokey Vibes,2024-02-06T00:46:51.386169
"Trees & Tranquility, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,6/8/2022,4/25/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Trees & Tranquility, LLC",2024-02-06T00:46:51.386169
BOA Holistic LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,5/27/2022,5/16/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,BOA Holistic LLC,2024-02-06T00:46:51.386169
Herrera Cannabis Company,Cannabis Retailer,Active,"30 Salazar, Cuba, NM, 87013",,Premises License,6/14/2022,6/14/2024,"Jaeson Herrera, Cynthia Herrera, Joshua Herrera",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Herrera Cannabis Company,2024-02-06T00:46:51.386169
G's Ganja,Cannabis Retailer,Active,{FullAddress},,Premises License,7/11/2022,7/11/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,G's Ganja,2024-02-06T00:46:51.386169
Leaf Love Organic,Cannabis Retailer,Active,{FullAddress},,Premises License,4/25/2022,4/17/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Leaf Love Organic,2024-02-06T00:46:51.386169
SEVEN TEN LLC,Cannabis Retailer,Active,"6910 CENTRAL AVE SE, ALBUQUERQUE, NM, 87108",,Premises License,7/1/2022,7/1/2024,JANEE SHERIDAN,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,SEVEN TEN LLC,2024-02-06T00:46:51.386169
Elements Dispensary LLC,Cannabis Retailer,Active,"9901 Lomas Blvd NE, Suite E, Albuquerque, NM, 87112",,Premises License,8/5/2022,8/5/2024,"ZACHARY RUIZ, Christina Singleton, Clarence Singleton",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Elements Dispensary LLC,2024-02-06T00:46:51.386169
"Nuves, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,4/10/2022,4/10/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Nuves, LLC",2024-02-06T00:46:51.386169
"monster house smoke, llc",Cannabis Retailer,Active,"301 N Solano Dr, #8, Las Cruces, NM, 88001",,CCD-2022-0628-001,7/15/2022,7/15/2024,"Maggie Marble, Marc Splawn Sr, Maggie Marble, Maggie Marble",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0628-001,"monster house smoke, llc",2024-02-06T00:46:51.386169
"monster house smoke, llc",Cannabis Retailer,Active,"1275 W Picacho Ave #1, Las Cruces, NM, 88007",,CCD-2022-0628-002,7/15/2022,7/15/2024,"Maggie Marble, Marc Splawn Sr, Maggie Marble, Maggie Marble",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0628-002,"monster house smoke, llc",2024-02-06T00:46:51.386169
"monster house smoke, llc",Cannabis Retailer,Active,"412 Mechem Dr, Ruidoso, NM, 88035",,CCD-2022-0628-003,7/15/2022,7/15/2024,"Maggie Marble, Marc Splawn Sr, Maggie Marble, Maggie Marble",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0628-003,"monster house smoke, llc",2024-02-06T00:46:51.386169
Headquarters Cannabis Company LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,4/14/2022,4/14/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Headquarters Cannabis Company LLC,2024-02-06T00:46:51.386169
Big Ranch Cultivation,Cannabis Retailer,Active,"909 North Hudson, Silver City, NM, 88061",,Premises License,6/17/2022,6/17/2024,"Jose Molina, Leo Aviles",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Big Ranch Cultivation,2024-02-06T00:46:51.386169
Score 420,Cannabis Retailer,Active,"805 N White Sands Blvd Ste D, Alamogordo, NM, 88310",,Premises License,4/9/2022,4/9/2024,"Matthew Kopelman, Miles Diefe, Connor Deife, Miles Anson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Score 420,2024-02-06T00:46:51.386169
Score 420,Cannabis Retailer,Active,"3150 East Main St, Suite A20, Farmington, NM, 87402",,Premises License,4/9/2022,4/9/2024,"Matthew Kopelman, Miles Diefe, Connor Deife, Miles Anson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Score 420,2024-02-06T00:46:51.386169
Score 420,Cannabis Retailer,Active,"2821 N Telshor Blvd, Ste 1, Los Cruces, NM, 88011",,Premises License,4/9/2022,4/9/2024,"Matthew Kopelman, Miles Diefe, Connor Deife, Miles Anson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Score 420,2024-02-06T00:46:51.386169
Score 420,Cannabis Retailer,Active,"2905 North Prince Street, Suite D, Clovis, NM, 88101",,CCD-2022-0264-007,4/9/2022,4/9/2024,"Matthew Kopelman, Miles Diefe, Connor Deife, Miles Anson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0264-007,Score 420,2024-02-06T00:46:51.386169
"TNB Grow, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,5/31/2022,5/31/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"TNB Grow, LLC",2024-02-06T00:46:51.386169
Releaf Cannabis CO,Cannabis Retailer,Active,"5704 Lomas Blvd NE, Albuquerque, NM, 87108",,Premises License,7/7/2022,7/7/2024,"Amir Selimovic, Michael Hosni, Amir Selimovic",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Releaf Cannabis CO,2024-02-06T00:46:51.386169
Hydroguana LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,6/9/2022,6/9/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Hydroguana LLC,2024-02-06T00:46:51.386169
"Carolina's Choice, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,5/23/2022,5/23/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Carolina's Choice, LLC",2024-02-06T00:46:51.386169
The Green Scene L.L.C.,Cannabis Retailer,Active,"202 S. 3rd St, Gallup, NM, 87301",,CCD-2022-0543-001,6/24/2022,6/24/2024,"Rodney Curnutt, Shania Curnutt",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0543-001,The Green Scene L.L.C.,2024-02-06T00:46:51.386169
cowboy verde llc,Cannabis Retailer,Active,"1605 Mabry Dr, Clovis, NM, 88101",,CCD-2022-0126-001,3/15/2022,3/15/2024,Anthony Torrez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0126-001,cowboy verde llc,2024-02-06T00:46:51.386169
MF NM LLC,Cannabis Retailer,Active,"1151 McNutt Rd., Sunland Park, NM, 88063",,Premises License,6/17/2022,6/17/2024,"Winston Conkling, Kimberly Nanke",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,MF NM LLC,2024-02-06T00:46:51.386169
Healing Herbz,Cannabis Retailer,Active,"2320 N. Main St, Clovis, NM, 88101",,Premises License,6/14/2022,6/14/2024,Jeffrey Fontanilla,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Healing Herbz,2024-02-06T00:46:51.386169
Healing Herbz,Cannabis Retailer,Active,"3211 N Prince St, Clovis, NM, 88101",,CCD-2022-0510-002,6/14/2022,6/14/2024,Jeffrey Fontanilla,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0510-002,Healing Herbz,2024-02-06T00:46:51.386169
FAMEUS FARMS LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,6/21/2022,6/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,FAMEUS FARMS LLC,2024-02-06T00:46:51.386169
"U La La Cannabis Company, LLC",Cannabis Retailer,Active,"2330 S. Main Ave., Lovington, NM, 88260",,Premises License,6/14/2022,6/14/2024,Nicholas Horner,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"U La La Cannabis Company, LLC",2024-02-06T00:46:51.386169
"Toker King, LLC",Cannabis Retailer,Active,"211 W. Kansas Ave., Jal, NM, 88252",,Premises License,8/1/2022,8/1/2024,"Kevin Carter, Robert Lance, Tresa Lance",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Toker King, LLC",2024-02-06T00:46:51.386169
Mellow Harvest Dispensary LLC,Cannabis Retailer,Active,"117 S Canyon St, Carlsbad, NM, 88220",,Premises License,6/17/2022,6/17/2024,"William Boston, Jacqueline Willoughby",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Mellow Harvest Dispensary LLC,2024-02-06T00:46:51.386169
Mellow Harvest Dispensary LLC,Cannabis Retailer,Active,"1002 West Pierce Street, Carlsbad, NM, 88220",,CCD-2022-0519-002,6/17/2022,6/17/2024,"William Boston, Jacqueline Willoughby",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0519-002,Mellow Harvest Dispensary LLC,2024-02-06T00:46:51.386169
High Altitude Exotics Limited Liability Company,Cannabis Retailer,Active,{FullAddress},,Premises License,6/28/2022,6/28/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Altitude Exotics Limited Liability Company,2024-02-06T00:46:51.386169
"Bluntley, LLC",Cannabis Retailer,Active,"3161 North Main Street, Las Cruces, NM, 88001",,Premises License,7/1/2022,7/1/2024,"Gonzalo Chavez, Jacqueline Chavez, Gonzalo Chavez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Bluntley, LLC",2024-02-06T00:46:51.386169
"Canna Buddha, LLC",Cannabis Retailer,Active,"1003 N Linam St, Hobbs, NM, 88240",,Premises License,8/15/2022,8/15/2024,Abdul Hamid,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Canna Buddha, LLC",2024-02-06T00:46:51.386169
D Grass Station NM LLC,Cannabis Retailer,Active,"1207 Mcnutt RD, Sunland Park, NM, 88063",,CCD-2022-0769-001,8/23/2022,8/23/2024,Pedro Perez,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0769-001,D Grass Station NM LLC,2024-02-06T00:46:51.386169
Glenrio Smoke Stop LLC,Cannabis Retailer,Active,"105 Route 66, Glenrio, NM, 88434",,Premises License,6/21/2022,6/21/2024,"Gabrielle Tuschak, Lance Ollinger",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Glenrio Smoke Stop LLC,2024-02-06T00:46:51.386169
Medical Joint,Cannabis Retailer,Active,"2355 McNutt Rd, Sunland Park, NM, 88063",,CCD-2023-0170-001,4/19/2023,4/18/2024,"Cassandra Robinson, Michelle Zapanta, Eric Robinson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2023-0170-001,Medical Joint,2024-02-06T00:46:51.386169
High Class,Cannabis Retailer,Active,{FullAddress},,Premises License,7/7/2022,7/7/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,High Class,2024-02-06T00:46:51.386169
Green Central Station,Cannabis Retailer,Active,"2117 Menaul Blvd NE Suite A, Albuquerque, NM, 87107",,Premises License,7/8/2022,7/8/2024,Joshua Shaver,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Green Central Station,2024-02-06T00:46:51.386169
Budding Genius LLC,Cannabis Retailer,Active,"512 E Broadway, Tatum, NM, 88267",,CCD-2022-0605-001,7/8/2022,7/8/2024,Denver Dunlap,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0605-001,Budding Genius LLC,2024-02-06T00:46:51.386169
"Hasheesh, LLC",Cannabis Retailer,Active,"1021 E Amador Suite A, Las Cruces, NM, 88001",,CCD-2022-0898-001,11/17/2022,11/17/2024,"Alex Carrillo, Steve Carrillo, Brandon Campos",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0898-001,"Hasheesh, LLC",2024-02-06T00:46:51.386169
Dr Green Organics Co,Cannabis Retailer,Active,{FullAddress},,Premises License,6/6/2022,6/6/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Dr Green Organics Co,2024-02-06T00:46:51.386169
toquesllc,Cannabis Retailer,Active,"2809 broadbent pkwy ne, Albuquerque, NM, 87107",,Premises License,7/20/2022,7/20/2024,Sergio Torres,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,toquesllc,2024-02-06T00:46:51.386169
Mountain Desert Health,Cannabis Retailer,Active,"4411 Montano Rd NW Suite F, Albuquerque, NM, 87120",,CCD-2023-0081-001,2/16/2023,2/16/2024,Sharon Schaaf,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2023-0081-001,Mountain Desert Health,2024-02-06T00:46:51.386169
MCGFarms LLC,Cannabis Retailer,Active,"2309 Calle de San Albino,  Suite 3, Mesilla, NM, 88046",,Premises License,7/12/2022,7/12/2024,Marshall McGinley,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,MCGFarms LLC,2024-02-06T00:46:51.386169
CHAOTIC BUDZ LLC,Cannabis Retailer,Active,"800 E Broadway St, Hobbs, NM, 88240",,Premises License,7/11/2022,7/11/2024,"Akira Kalmiya, Vanny Chao",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,CHAOTIC BUDZ LLC,2024-02-06T00:46:51.386169
Galileo Cannabis LLC,Cannabis Retailer,Active,"637 Broadway Blvd SE, Albuquerque, NM, 87102",,CCD-2022-0614-001,7/12/2022,7/12/2024,Fausto Quezada,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0614-001,Galileo Cannabis LLC,2024-02-06T00:46:51.386169
Da Kind Leisure Life LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,8/18/2022,8/18/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Da Kind Leisure Life LLC,2024-02-06T00:46:51.386169
Euphoria Group LLC,Cannabis Retailer,Active,"1602 E Lohman, Las Cruces, NM, 88011",,Premises License,6/30/2022,6/30/2024,"Erica Romero, Dennis Turner, Randall Johnson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Euphoria Group LLC,2024-02-06T00:46:51.386169
Green Fuego,Cannabis Retailer,Active,"7502 Mallard Way #B, Santa Fe, NM, 87507",,Premises License,6/13/2022,6/13/2024,Caryn Fiorina,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Green Fuego,2024-02-06T00:46:51.386169
Great White LLC,Cannabis Retailer,Active,"3500 South main street, Roswell, NM, 88203",,Premises License,7/29/2022,7/29/2024,Freddy Nasrallah,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Great White LLC,2024-02-06T00:46:51.386169
"GMCC, INC.",Cannabis Retailer,Active,{FullAddress},,Premises License,6/24/2022,6/24/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"GMCC, INC.",2024-02-06T00:46:51.386169
True Essentia,Cannabis Retailer,Active,"530 N Telshor Suite G, Las Cruces, NM, 88007",,Premises License,7/29/2022,7/29/2024,Kristy Ontiveros,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,True Essentia,2024-02-06T00:46:51.386169
"Cannyall, LLC",Cannabis Retailer,Active,"90 Dr. Michael Jenkins Rd, Clayton, NM, 88415",,CCD-2022-0905-001,11/30/2022,11/30/2024,"Mike Chadima, Denise Chadima",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0905-001,"Cannyall, LLC",2024-02-06T00:46:51.386169
Lucky Pharms LLC,Cannabis Retailer,Active,"1624 Goff Blvd SW, Albuquerque, NM, 87105",,Premises License,8/4/2022,8/4/2024,"Jeremy Lopez, Jessica Blanton, Matthew Blanton, Ashley Lopez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Lucky Pharms LLC,2024-02-06T00:46:51.386169
Lucky Pharms LLC,Cannabis Retailer,Active,"135 South 1st Street, Santa Rosa, NM, 88435",,Premises License,8/4/2022,8/4/2024,"Jeremy Lopez, Jessica Blanton, Matthew Blanton, Ashley Lopez",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Lucky Pharms LLC,2024-02-06T00:46:51.386169
"Kindlife Kirtland, LLC",Cannabis Retailer,Active,"4354 Highway 64, Kirtland, NM, 87417",,CCD-2022-0720-001,8/9/2022,8/9/2024,"Vernon Gladden, Scott Abrahams, Anisha Lalani, Jayson Kain",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0720-001,"Kindlife Kirtland, LLC",2024-02-06T00:46:51.386169
Starr Canna LLC,Cannabis Retailer,Active,"718 East Bender, Hobbs, Hobbs, NM, 88240",,CCD-2022-0665-001,7/29/2022,7/29/2024,Elizabeth McGrath,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0665-001,Starr Canna LLC,2024-02-06T00:46:51.386169
"Pajarito Healing Herb, LLC",Cannabis Retailer,Active,{FullAddress},,Premises License,7/21/2022,7/21/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Pajarito Healing Herb, LLC",2024-02-06T00:46:51.386169
Unbeweedable Cannabis Cafe LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,7/22/2022,5/24/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Unbeweedable Cannabis Cafe LLC,2024-02-06T00:46:51.386169
Yerba Buena,Cannabis Retailer,Active,{FullAddress},,Premises License,7/25/2022,7/25/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Yerba Buena,2024-02-06T00:46:51.386169
Hyderoponics Indoor Garden Center,Cannabis Retailer,Active,"118 East High Street, Grants, NM, 87020",,Premises License,7/29/2022,7/29/2024,Joseph Hyde,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Hyderoponics Indoor Garden Center,2024-02-06T00:46:51.386169
"Yerbaviva, LLC",Cannabis Retailer,Active,"2327 McNutt, Suite B, Sunland Park, NM, 88063",,Premises License,7/29/2022,7/29/2024,"Julio Villanueva, Jose Mendoza, Steven Bruck",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Yerbaviva, LLC",2024-02-06T00:46:51.386169
Par 4 llc.,Cannabis Retailer,Active,{FullAddress},,Premises License,8/3/2022,8/3/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Par 4 llc.,2024-02-06T00:46:51.386169
Deming Ganja Lounge LLC,Cannabis Retailer,Active,"119 NORTH 8TH STREET SUITE B, DEMING, NM, 88030",,Premises License,7/29/2022,7/29/2024,Richard Argant,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Deming Ganja Lounge LLC,2024-02-06T00:46:51.386169
Grassroots Grants LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,9/20/2021,9/20/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Grassroots Grants LLC,2024-02-06T00:46:51.386169
"The Cannabis Tropical, LLC",Cannabis Retailer,Active,"2060 Calle de Parian, Mesilla, NM, 88046",,Premises License,8/1/2022,8/1/2024,Bader Jouda,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"The Cannabis Tropical, LLC",2024-02-06T00:46:51.386169
TNM Holdings LLC,Cannabis Retailer,Active,"800 Wheeler Avenue, Texico, NM, 88135",,Premises License,8/15/2022,8/15/2024,"Carson Beard, Derek Altoonian, Paige Beard",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,TNM Holdings LLC,2024-02-06T00:46:51.386169
Lyons Pride Dispensary LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,9/8/2022,9/8/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Lyons Pride Dispensary LLC,2024-02-06T00:46:51.386169
"Turquoise Bloom, Inc.",Cannabis Retailer,Active,"162 Wyatt Dr, Las Cruces, NM, 88005",,Premises License,8/8/2022,8/8/2024,"Keith Alan Wilson, Vanessa Bea Robinson",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,"Turquoise Bloom, Inc.",2024-02-06T00:46:51.386169
Weed and Read LTD LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,2/2/2024,1/30/2025,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Weed and Read LTD LLC,2024-02-06T00:46:51.386169
LKBT Group LLC,Cannabis Retailer,Active,{FullAddress},,Premises License,8/19/2022,8/5/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,LKBT Group LLC,2024-02-06T00:46:51.386169
Dispensary Near Me,Cannabis Retailer,Active,{FullAddress},,Premises License,9/2/2022,9/2/2024,,,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,Premises License,Dispensary Near Me,2024-02-06T00:46:51.386169
Elkhorn Retail LLC,Cannabis Retailer,Active,"101 98th St SW, Albuquerque, NM, 87121",,CCD-2022-0728-001,8/11/2022,8/11/2024,"Barbara Crawford, Charles Crawford",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0728-001,Elkhorn Retail LLC,2024-02-06T00:46:51.386169
Elkhorn Retail LLC,Cannabis Retailer,Active,"9132 Montgomery Road, Albuquerque, NM, 87111",,CCD-2022-0728-002,8/11/2022,8/11/2024,"Barbara Crawford, Charles Crawford",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0728-002,Elkhorn Retail LLC,2024-02-06T00:46:51.386169
Elkhorn Retail LLC,Cannabis Retailer,Active,"2325 San Pedro Dr NE, Albuquerque, NM, 87110",,CCD-2022-0728-003,8/11/2022,8/11/2024,"Barbara Crawford, Charles Crawford",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0728-003,Elkhorn Retail LLC,2024-02-06T00:46:51.386169
Elkhorn Retail LLC,Cannabis Retailer,Active,"1829 Cerrillos Road, Santa Fe, NM, 87505",,CCD-2022-0728-004,8/11/2022,8/11/2024,"Barbara Crawford, Charles Crawford",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0728-004,Elkhorn Retail LLC,2024-02-06T00:46:51.386169
Elkhorn Retail LLC,Cannabis Retailer,Active,"604 N. Guadalupe, Santa Fe, NM, 87501",,CCD-2022-0728-005,8/11/2022,8/11/2024,"Barbara Crawford, Charles Crawford",,,NMCCD,New Mexico Cannabis Control Division,Adult-Use,,,NM,,,,,,CCD-2022-0728-005,Elkhorn Retail LLC,2024-02-06T00:46:51.386169
