license_number,business_legal_name,business_dba_name,Street,premise_city,premise_zip_code,data_refreshed_date,license_type,license_designation,Licensee Name,License #,Address,Residual Solvents,Microbials,Mycotoxins,id,license_status,licensing_authority_id,licensing_authority,premise_state,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,premise_street_address,premise_county,premise_latitude,premise_longitude,business_website
402R-00976,BAXTER SPRINGS DISPENSARY LLC,Baxter Springs Dispensary LLC,701 East Brontosaurus Boulevard,Dinosaur,81610,2023-04-02,Stores,Adult-Use,,,,,,,402R-00976,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,701 Brontosaurus Blvd,Moffat County,40.2439343,-109.0014304,
402R-00165,GM BROADWAY LLC,GOLDEN MEDS,1755 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402R-00165,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 583-2119,,,1755 S Broadway,Denver County,39.68471270000001,-104.9877515,https://goldenmedsco.com/location-broadway-co/
402R-00190,DP RETAIL 111 LLC,GREEN DRAGON,"1750 30th Street, Unit 7",Boulder,80301,2023-04-02,Stores,Adult-Use,,,,,,,402R-00190,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 446-5490,,,1750 30th St Suite 7,Boulder County,40.0172624,-105.2526673,https://greendragon.com/locations/boulder/
402R-00166,BEYOND BROADWAY LLC,LivWell,432 South Broadway,Denver,80209,2023-04-02,Stores,Adult-Use,,,,,,,402R-00166,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 428-2550,,,432 S Broadway,Denver County,39.7087176,-104.9873293,https://livwell.com/locations/colorado/broadway-denver
402R-00249,GM INC,GREEN WORLD,401 4th Avenue,Fort Garland,81133,2023-04-02,Stores,Adult-Use,,,,,,,402R-00249,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 206-2837,,,401 4th Ave #610,Costilla County,37.4279732,-105.4359037,http://www.lacasacannabis.com/
402R-00167,DENVER PATIENTS GROUP LLC,LIVWELL,2863 Larimer Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402R-00167,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 484-1662,,,2863 Larimer St,Denver County,39.7613598,-104.9820346,https://livwell.com/locations/colorado/rino-denver
402R-00659,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURES KISS,4332 South Broadway,Englewood,80113,2023-04-02,Stores,Adult-Use,,,,,,,402R-00659,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 484-9327,,,4332 S Broadway,Arapahoe County,39.6378661,-104.9874444,http://www.natureskissmmj.com/
402R-00528,BUDS LTD,None,104 Cardinal Way,Parachute,81635,2023-04-02,Stores,Adult-Use,,,,,,,402R-00528,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402R-00872,GREEN GARDENS LLC,Green Fields,2038 South Navajo Street,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402R-00872,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 455-1795,,,1798 W Mississippi Ave,Denver County,39.6964176,-105.0083269,https://www.greenfieldscannabisco.com/
402R-00290,LIVWELL X LLC,LivWell,19201 East Colfax Avenue,Aurora,80011,2023-04-02,Stores,Adult-Use,,,,,,,402R-00290,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 366-1077,,,19201 E Colfax Ave,Arapahoe County,39.7406829,-104.7642405,https://livwell.com/locations/colorado/buckley-aurora
402R-00263,J and J ENTERPRISES INC,PagosaTherapeutics,235 Bastille Drive,Pagosa Springs,81147,2023-04-02,Stores,Adult-Use,,,,,,,402R-00263,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 731-4420,,,235 Bastille Dr,Archuleta County,37.2541318,-107.0835833,http://www.pagosatherapeutics.com/
402R-00836,YUMA WAY LLC,CANNA CITY,7150 Highway 85 ,Commerce City,80022,2023-04-02,Stores,Adult-Use,,,,,,,402R-00836,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 336-8689,,,7150 Eudora Dr,Adams County,39.82596319999999,-104.9275932,https://yumaway.com/locations/cannacity
402R-00747,GOLD & T LLC,THE HEALTH CENTER,537 Canyon Boulevard,Boulder,80302,2023-04-02,Stores,Adult-Use,,,,,,,402R-00747,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-8664,,,537 Canyon Blvd,Boulder County,40.0154797,-105.2880465,https://www.thchealth.com/colorado-dispensary-locations/boulder-dispensary/
402R-00199,OPTIONS CANNABIS CO LTD,OPTIONS,"5290 Arapahoe Avenue, Unit J",Boulder,80303,2023-04-02,Stores,Adult-Use,,,,,,,402R-00199,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 953-2852,,,5290 Arapahoe Ave Suite J,Boulder County,40.0142125,-105.2293235,https://optionscannabis.com/location/boulder/
402R-00382,AF INC,Apothecary Farms,1917 Santa Fe Drive,Pueblo,81006,2023-04-02,Stores,Adult-Use,,,,,,,402R-00382,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 544-5323,,,1917 Santa Fe Dr,Pueblo County,38.2459323,-104.5752376,http://www.apothecaryfarms.com/
402R-00383,COLORADO CANNABIS ASSOCIATES LLC,THE SPOT,453 North Commercial Street,Trinidad,81082,2023-04-02,Stores,Adult-Use,,,,,,,402R-00383,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 422-8419,,,466 West E Main St,Las Animas County,37.166767,-104.509096,https://www.theotherplaceisgreener.net/
402R-00695,COLORADO ALTERNATIVE HEALTH CARE LTD,Colorado Weedery,"125 Peach Avenue, Unit C",Palisade,81526,2023-04-02,Stores,Adult-Use,,,,,,,402R-00695,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 464-2777,,,125 Peach Ave Unit C,Mesa County,39.1114811,-108.352966,https://www.coloweedery.com/
402R-00180,DJR COLORADO LLC,HIGH LEVEL HEALTH,1221 County Road 308,Dumont,80436,2023-04-02,Stores,Adult-Use,,,,,,,402R-00180,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 242-8692,,,1221 Co Rd 308,Clear Creek County,39.7667747,-105.6167302,https://www.highlevelhealth.com/dumont/
402R-00898,I & S LLC,SILVER STEM FINE CANNABIS,1086 West Littleton Boulevard,Littleton,80120,2023-04-02,Stores,Adult-Use,,,,,,,402R-00898,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 627-5091,,,1086 W Littleton Blvd,Arapahoe County,39.6129201,-105.000189,https://silverstemcannabis.com/order-now/shop/littleton-rec
402R-00811,DABBINGTON LLC,Dabbington,206 Elm Drive,Log Lane Village,80705,2023-04-02,Stores,Adult-Use,,,,,,,402R-00811,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 867-1305,,,206 Elm St,Morgan County,40.2693184,-103.8290627,http://www.magnoliaroadcc.com/
402R-00488,HIGH PLAINS STRAINS LLC,High Plainz Strains & Dispensary LLC,17280 North Frontage Road,Log Lane Village,80705,2023-04-02,Stores,Adult-Use,,,,,,,402R-00488,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 867-1282,,,17280 N Frontage Rd,Morgan County,40.2665629,-103.8242548,https://www.highplainzstrains.com/
402R-00345,DENCO LLC,None,5155 East 46th Avenue,Denver,80216,2023-04-02,Stores,Adult-Use,,,,,,,402R-00345,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402R-00831,EXIT 243 LLC,Dispensary Exit 243,2235 East Idaho Springs Road ,Idaho Springs,80452,2023-04-02,Stores,Adult-Use,,,,,,,402R-00831,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 292-6902,,,2235 East Idaho Springs Road,Clear Creek County,39.7476434,-105.4604232,https://dispensaryexit243.com/
402R-00332,HQ LLC,High Q Silt,730 Main Street,Silt,81652,2023-04-02,Stores,Adult-Use,,,,,,,402R-00332,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 876-4114,,,730 Main St,Garfield County,39.5471343,-107.6549701,https://www.highqrockies.com/locations/silt-store/
402R-00810,RIFLE REMEDIES LLC,GREEN CROSS RIFLE,1435 Airport Road,Rifle,81650,2023-04-02,Stores,Adult-Use,,,,,,,402R-00810,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 625-1053,,,1435 Airport Rd,Garfield County,39.5233078,-107.7643384,https://www.greencrosscolorado.com/
402R-00363,RJJ FRISCO LLC,Native Roots Frisco,861 North Summit Boulevard,Frisco,80443,2023-04-02,Stores,Adult-Use,,,,,,,402R-00363,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 368-6024,,,861 N Summit Blvd,Summit County,39.5873992,-106.0941915,https://nativerootscannabis.com/locations/frisco-marijuana-dispensary
402R-00689,NUVUE PHARMA LLC,None,1400 Van Buren Street,Trinidad,81082,2023-04-02,Stores,Adult-Use,,,,,,,402R-00689,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 846-2696,,,418 E Main St,Las Animas County,37.1698389,-104.5017134,
402R-00766,LIVWELL IX LLC,LivWell,"8860 Federal Boulevard, Suite 66E",Federal Heights,80260,2023-04-02,Stores,Adult-Use,,,,,,,402R-00766,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 612-4343,,,8860 Federal Blvd #66e,Adams County,39.8574222,-105.0238715,https://livwell.com/locations/colorado/federal-heights
402R-00482,ACADEMY OF THE HEALING ARTS LLC,High Valley Antonito Retail Cannabis,307 Main Street,Antonito,81120,2023-04-02,Stores,Adult-Use,,,,,,,402R-00482,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 376-5251,,,307 Main St,Conejos County,37.07458329999999,-106.0090772,https://www.hvcannabis.com/antonito/
402R-00323,DP RETAIL 114 LLC,Green Dragon,15225 East 6th Avenue,Aurora,80011,2023-04-02,Stores,Adult-Use,,,,,,,402R-00323,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 458-6950,,,15225 E 6th Ave,Arapahoe County,39.7260053,-104.8115843,https://greendragon.com/locations/aurora-6th-ave/
402R-00238,SOLACE MEDS COLFAX LLC,None,4615 East Colfax Avenue ,Denver,80220,2023-04-02,Stores,Adult-Use,,,,,,,402R-00238,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402R-00910,ZENGOLDS LLC,ZENGOLDS,"5739 Bueno Drive, Suite D1",Fort Collins,80525,2023-04-02,Stores,Adult-Use,,,,,,,402R-00910,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 568-8463,,,5739 Bueno Dr Suite D1,Larimer County,40.5068151,-105.0758803,http://zengolds.com/
402R-00900,D & D CONSULTING INC,KAYA CANNABIS,12018 West Jewell Avenue Unit B & C,Lakewood,80228,2023-04-02,Stores,Adult-Use,,,,,,,402R-00900,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 557-0876,,,12018 W Jewell Ave,Jefferson County,39.68175120000001,-105.1298928,http://www.kayacannabis.com/
402R-00479,LIGHTSHADE LABS LLC,Lightshade,745 East 6th Avenue,Denver,80203,2023-04-02,Stores,Adult-Use,,,,,,,402R-00479,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 899-3040,,,745 E 6th Ave,Denver County,39.72582,-104.97788,https://lightshade.com/
402R-00098,MEDICINAL WELLNESS CENTER LLC,Oasis Cannabis Superstore,5440 West 44th Avenue,Mountain View,80212,2023-04-02,Stores,Adult-Use,,,,,,,402R-00098,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 333-3338,,,5440 W 44th Ave,Denver County,39.7762697,-105.0563828,https://oasissuperstore.com/
402R-00359,NATURES GIFT SHOP LLC,None,148 East Assembly Drive,Pueblo West,81007,2023-04-02,Stores,Adult-Use,,,,,,,402R-00359,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(833) 797-7767,,,448 S McCulloch Blvd Ste 48,Pueblo County,38.3178709,-104.7487766,https://pueblowestsecurity.com/
402R-00699,NORTHWEST CANNABIS INC,Rocky Mountain Cannabis,420 East Brontosaurus Boulevard,Dinosaur,81610,2023-04-02,Stores,Adult-Use,,,,,,,402R-00699,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 279-3791,,,420 Brontosaurus Blvd,Moffat County,40.2450907,-109.0045716,http://www.rockymountaincannabis.com/
402R-00360,LIGHTSHADE LABS LLC,Lightshade,1126 South Sheridan Boulevard,Denver,80232,2023-04-02,Stores,Adult-Use,,,,,,,402R-00360,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 630-2810,,,1126 S Sheridan Blvd,Jefferson County,39.6960061,-105.0528611,https://lightshade.com/dispensaries/sheridan-denver/?utm_medium=organic&utm_source=gbp&utm_campaign=website
402R-00361,CANNABIS FOR HEALTH LLC,PIG N' WHISTLE,4801 West Colfax Avenue,Denver,80204,2023-04-02,Stores,Adult-Use,,,,,,,402R-00361,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 542-3437,,,4801 W Colfax Ave,Denver County,39.74065299999999,-105.048972,http://pignwhistlemj.com/
402R-00908,MAGIC CITY FARMS 2 LLC,MAGIC CITY CANNABIS,3819 North Quentin Street,Denver,80239,2023-04-02,Stores,Adult-Use,,,,,,,402R-00908,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 692-1539,,,3819 Quentin St,Denver County,39.7699105,-104.8451348,https://magiccitydenver.wm.store/discover
402R-00054,DJR COLORADO LLC,High Level Health,"1620 Market Street, Suite 5W",Denver,80202,2023-04-02,Stores,Adult-Use,,,,,,,402R-00054,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 953-0884,,,1620 Market St,Denver County,39.7500519,-104.9976159,https://highlevelhealth.com/market/?utm_source=gmb&utm_campaign=dispenza
402R-00700,THE GREEN SOLUTION LLC,None,1995 Wewatta Street,Denver,80202,2023-04-02,Stores,Adult-Use,,,,,,,402R-00700,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402R-00666,THE GREEN SOLUTION LLC,None,19370 East Quincy Avenue,Aurora,80015,2023-04-02,Stores,Adult-Use,,,,,,,402R-00666,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402R-00212,GREEN MEDICINE LLC,THE GREEN JOINT,1030 Grand Avenue,Glenwood Springs,81601,2023-04-02,Stores,Adult-Use,,,,,,,402R-00212,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 384-1234,,,1030 Grand Ave,Garfield County,39.5429465,-107.3245463,https://thegreenjoint.com/locations/glenwood-springs/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=glenwood
402R-00481,IEROS LLC,Life Flower Dispensary,4966 Leetsdale Drive,Glendale,80246,2023-04-02,Stores,Adult-Use,,,,,,,402R-00481,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 389-7442,,,4966 Leetsdale Dr,Denver County,39.7083968,-104.9303878,https://lifeflowerdispensary.com/
402R-00752,ASPEN GREEN JOINT LLC,The Green Joint,"720 East Durant Avenue, Unit E-3",Aspen,81611,2023-04-02,Stores,Adult-Use,,,,,,,402R-00752,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 710-2657,,,720 E Durant Ave E3,Pitkin County,39.1867276,-106.8158978,https://thegreenjoint.com/aspen-dispensary/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=aspen
402R-00928,ELEVATED RECREATION LLC,None,109 Main Street,Romeo,81148,2023-04-02,Stores,Adult-Use,,,,,,,402R-00928,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
402R-00929,N FEDERAL SOCIAL LLC,Social Cannabis,5068 North Federal Boulevard,Denver,80221,2023-04-02,Stores,Adult-Use,,,,,,,402R-00929,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 997-5563,,,5068 N Federal Blvd,Adams County,39.7886646,-105.0249213,https://www.thesocialcannabis.com/
402R-00055,YUMA WAY LLC,Lowell Gardens,3615 West 49th Avenue,Denver,80221,2023-04-02,Stores,Adult-Use,,,,,,,402R-00055,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 362-7095,,,3615 W 49th Ave,Adams County,39.7857297,-105.0351413,https://yumaway.com/locations/lowellgardens
402R-00616,THE UNDERGROUND STATION LLC,None,439 North Commercial Street,Trinidad,81082,2023-04-02,Stores,Adult-Use,,,,,,,402R-00616,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 846-2696,,,418 E Main St,Las Animas County,37.1698389,-104.5017134,
402R-00056,JS INVESTMENTS LLC,JARS Cannabis,"403 16th Street, Suite 1",Denver,80202,2023-04-02,Stores,Adult-Use,,,,,,,402R-00056,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 534-6255,,,403 16th St Mall,Denver County,39.74347410000001,-104.9895883,https://eufloracolorado.com/locations/16th-st-mall/
402R-00734,A&A INVESTMENTS LLC,ECLIPSE CANNABIS COMPANY,933 Alpine Avenue Suite 2,Boulder,80304,2023-04-02,Stores,Adult-Use,,,,,,,402R-00734,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 420-0782,,,933 Alpine Ave. suite 2,Boulder County,40.02587349999999,-105.2849012,https://eclipsecannabis.com/
402R-00839,ROCKYS BEST LLC,The Station,1701 Elm Avenue,Rocky Ford,81067,2023-04-02,Stores,Adult-Use,,,,,,,402R-00839,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 383-2080,,,1701 Elm Ave,Otero County,38.04940359999999,-103.7103418,https://thestationrf.com/
402R-00600,SMOKED COLORADO INC,Mighty Tree,2268 South Delaware Street,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402R-00600,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 642-9600,,,2268 S Delaware St,Denver County,39.67547709999999,-104.9920624,https://www.mightytreeco.com/
402R-00592,LEVELS IV INC,"Levels IV, Inc",5201 West 48th Avenue,Denver,80212,2023-04-02,Stores,Adult-Use,,,,,,,402R-00592,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 993-6424,,,5201 W 48th Ave,Denver County,39.78403600000001,-105.053573,https://levelsthc.com/
402R-00906,YUMA UNIQUE LLC,None,6901 East Colfax Avenue,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402R-00906,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 532-0757,,,1225 Logan St,Denver County,39.7355919,-104.9825902,https://barnundenver.com/
402R-00602,TITAN HEALTH LLC,TWEEDLEAF,800 Park Avenue West,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402R-00602,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 756-1414,,,800 Park Ave W,Denver County,39.7524073,-104.9849243,
402R-00614,KTA LLC,THE LODGE,3944 North High Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402R-00614,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 328-4539,,,3944 High St,Denver County,39.7720387,-104.9644708,https://thelodgecannabis.com/dispensaries/rino-district/
402R-00492,GREEN FIELDS LLC,GreenFields,1798 West Mississippi Avenue,Denver,80223,2023-04-02,Stores,Adult-Use,,,,,,,402R-00492,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 455-1795,,,1798 W Mississippi Ave,Denver County,39.6964176,-105.0083269,https://www.greenfieldscannabisco.com/
402R-00148,MAKENA UNLIMITED LLC,Makena,2568 South Broadway,Denver,80210,2023-04-02,Stores,Adult-Use,,,,,,,402R-00148,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 955-1143,,,2568 S Broadway,Denver County,39.6700419,-104.9873195,http://makenamj.com/
402R-00787,MAMMOTH DURANGO LLC,The Homestead,927 Highway 3,Durango,81301,2023-04-02,Stores,Adult-Use,,,,,,,402R-00787,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 422-3282,,,927 CO-3,La Plata County,37.2508986,-107.8698309,https://dutchie.com/dispensaries/mammoth-farms-durango/menu
402R-00521,MISSKAT INC,Frosty Leaf,500 West Highway 50 Suite 102,Gunnison,81230,2023-04-02,Stores,Adult-Use,,,,,,,402R-00521,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 975-0278,,,500 W U.S. Hwy. 50 STE 102,Gunnison County,38.5392335,-106.940476,http://frostyleafgco.com/
402R-00807,JW COLORADO LLC,TWEEDLEAF,6299 Federal Boulevard ,Denver,80221,2023-04-02,Stores,Adult-Use,,,,,,,402R-00807,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 379-3816,,,2383 S Downing St,Denver County,39.6733933,-104.9737034,https://tweedlife.com/downing/?utm_source=gmb&utm_medium=organic&utm_campaign=website-denver-downing-st
402R-00715,LS BOUTIQUES LLC,Lucy Sky Cannabis Boutique,4444 South Federal Boulevard ,Sheridan,80110,2023-04-02,Stores,Adult-Use,,,,,,,402R-00715,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 794-6742,,,4444 S Federal Blvd,Arapahoe County,39.6361285,-105.0249228,https://www.lucyskycannabisboutique.com/
402R-00814,GREEN CROSS LLC,GREEN CROSS OF CHERRY CREEK,"3400 South Oneida Way, Suite 101",Denver,80224,2023-04-02,Stores,Adult-Use,,,,,,,402R-00814,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 639-4939,,,3400 S Oneida Way,Denver County,39.6538872,-104.9083985,https://greencrosscc.com/
402R-00901,HEALING HOUSE LAKEWOOD LLC,ASCEND CANNABIS CO,10712 West Alameda Avenue,Lakewood,80226,2023-04-02,Stores,Adult-Use,,,,,,,402R-00901,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 988-5255,,,10712 W Alameda Ave,Jefferson County,39.71032719999999,-105.1184217,http://ascendcannabisco.com/
402R-00613,YUMA WAY LLC,1136 Yuma,1136 North Yuma Court,Denver,80204,2023-04-02,Stores,Adult-Use,,,,,,,402R-00613,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 900-1136,,,1136 Yuma Ct,Denver County,39.73431229999999,-105.0143072,https://yumaway.com/locations/1136yuma
402R-00179,COLORADO CANNABIS COMPANY LLC,Pure Marijuana Dispensary,2553 Sheridan Boulevard,Edgewater,80214,2023-04-02,Stores,Adult-Use,,,,,,,402R-00179,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 233-1322,,,2553 Sheridan Boulevard,Jefferson County,39.7540168,-105.0535354,https://puremmj.com/
402R-00340,PEAK HOLDINGS GROUP LLC,Peak,260 North Broadway ,Denver,80203,2023-04-02,Stores,Adult-Use,,,,,,,402R-00340,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 390-7804,,,260 Broadway,Denver County,39.7205384,-104.9873002,http://peakmj.com/
402R-00149,NEW WORLD ALTERNATIVE HEALTHCARE LLC,TELLURIDE BUD COMPANY,135 South Spruce Street,Telluride,81435,2023-04-02,Stores,Adult-Use,,,,,,,402R-00149,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 239-6039,,,135 S Spruce St,San Miguel County,37.9362137,-107.8102031,https://telluridebc.com/telluride-bud-company-store-locations/telluride-store-products/
402R-00933,PAONIA PURPLE INC,Paonia Purple,204 2nd Street,Paonia,81428,2023-04-02,Stores,Adult-Use,,,,,,,402R-00933,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 527-1039,,,204 2nd St,Delta County,38.8669736,-107.5975257,https://www.paoniapurpledispensary.com/
402R-00245,CCC INC,The Happy Camper Cannabis Company,80 Rosalie Road,Bailey,80421,2023-04-02,Stores,Adult-Use,,,,,,,402R-00245,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 816-0420,,,80 Rosalie Rd,Park County,39.43826359999999,-105.4509231,https://thcbailey.com/
402R-00375,RESERVE 1 MANITOU LLC,Emerald Fields,27 Manitou Avenue,Manitou Springs,80829,2023-04-02,Stores,Adult-Use,,,,,,,402R-00375,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 375-0554,,,27 Manitou Ave,El Paso County,38.856904,-104.890047,https://emeraldfields.com/locations/manitou-springs-marijuana-dispensary/?utm_source=terrayn_gbp&utm_medium=organic&utm_campaign=manitou%20springs
402R-00252,LIVWELL XII LLC,LivWell,"130 Maine Street, Unit B",Log Lane Village,80705,2023-04-02,Stores,Adult-Use,,,,,,,402R-00252,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(970) 867-7867,,,130 Maine St Suite B,Morgan County,40.26825879999999,-103.8316394,https://livwell.com/locations/colorado/log-lane
402R-00232,ACADEMY OF THE HEALING ARTS LLC,High Valley Retail Cannabis,60250 County Road T,Moffat,81143,2023-04-02,Stores,Adult-Use,,,,,,,402R-00232,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(719) 480-7477,,,60250 Co Rd T,Saguache County,37.99228919999999,-105.9050716,https://www.hvcannabis.com/moffat/
402R-00535,GT RETAIL LLC,None,12626 North 107 Street,Longmont,80504,2023-04-02,Stores,Adult-Use,,,,,,,402R-00535,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 772-5529,,,220 Collyer St,Boulder County,40.1630592,-105.0977137,http://www.ourcenter.org/
402R-00111,GREEN KIWI 2 LLC,LivWell,"6651 North Tower Road, Suite 120",Denver,80249,2023-04-02,Stores,Adult-Use,,,,,,,402R-00111,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 524-8273,,,6651 Tower Rd Suite 120,Denver County,39.8170566,-104.7725,https://livwell.com/locations/colorado/tower-road-denver
402R-00017,MAYFLOWER GROUP LLC,The Health Center,1736 North Downing Street,Denver,80218,2023-04-02,Stores,Adult-Use,,,,,,,402R-00017,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(303) 758-9997,,,1736 N Downing St,Denver County,39.74397340000001,-104.9731577,https://www.thchealth.com/colorado-dispensary-locations/denver-uptown-city-page/
402R-00964,KIND HENDERSON LLC,None,"9670 Dallas Street, Unit A",Henderson,80640,2023-04-02,Stores,Adult-Use,,,,,,,402R-00964,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 420-0548,,,10401 Belle Creek Blvd #103,Adams County,39.8866593,-104.8834322,http://www.myneighborshairsalon.com/
402R-00019,PI ARAPAHOE LLC,Lova Arapahoe,2042 Arapahoe Street,Denver,80205,2023-04-02,Stores,Adult-Use,,,,,,,402R-00019,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,(720) 531-5492,,,2042 Arapahoe St,Denver County,39.7520775,-104.9897472,http://www.lovaco.com/
402R-00779,NUVUE PHARMA LLC,None,503 Patton Street,Cortez,81321,2023-04-02,Stores,Adult-Use,,,,,,,402R-00779,,MED,Colorado Marijuana Enforcement Division,CO,,,,,,,,,,,,,,,,
